Time,Sine1Hz,Sine5Hz,Sine10Hz,Square1Hz,Square5Hz,Square10Hz,Triangle1Hz,Triangle5Hz,Triangle10Hz
0,0,0,0,0,0,0,0,0,0
0.01001001001001,0.0628532900444819,0.309316061388869,0.588293965200805,1,1,1,0.04004004004004,0.2002002002002,0.4004004004004
0.02002002002002,0.125458030180296,0.588293965200805,0.951444474683177,1,1,1,0.0800800800800801,0.4004004004004,0.800800800800801
0.03003003003003,0.187566653375837,0.809571163340744,0.950471757300112,1,1,1,0.12012012012012,0.600600600600601,0.798798798798799
0.04004004004004,0.248933554466892,0.951444474683177,0.585748077541839,1,1,1,0.16016016016016,0.800800800800801,0.398398398398398
0.0500500500500501,0.309316061388869,0.999998763828597,-0.00314473220773644,1,1,-1,0.2002002002002,0.998998998999006,-0.00200200200200205
0.0600600600600601,0.36847539481025,0.950471757300112,-0.590834035005958,1,1,-1,0.24024024024024,0.798798798798799,-0.402402402402402
0.0700700700700701,0.426177612372435,0.807721134073807,-0.952407782884451,1,1,-1,0.28028028028028,0.598598598598599,-0.802802802802803
0.0800800800800801,0.482194533802048,0.585748077541839,-0.949489640354813,1,1,-1,0.32032032032032,0.398398398398398,-0.796796796796797
0.0900900900900901,0.536304643237382,0.306324019606784,-0.583196397206274,1,1,-1,0.36036036036036,0.198198198198198,-0.396396396396397
0.1001001001001,0.588293965200805,-0.00314473220773644,0.00628943331606791,1,-1,1,0.4004004004004,-0.00200200200200205,0.00400400400400411
0.11011011011011,0.637956910753112,-0.31230504423149,0.59336826183762,1,-1,1,0.44044044044044,-0.202202202202202,0.404404404404405
0.12012012012012,0.685097090483781,-0.590834035005958,0.953361672377429,1,-1,1,0.48048048048048,-0.402402402402402,0.804804804804804
0.13013013013013,0.729528091122189,-0.811413186462866,0.948498133559795,1,-1,1,0.520520520520521,-0.602602602602603,0.794794794794795
0.14014014014014,0.771074212698725,-0.952407782884451,0.580638949428605,1,-1,1,0.560560560560561,-0.802802802802803,0.394394394394394
0.15015015015015,0.809571163340744,-0.999988874475714,-0.009434072225897,1,-1,-1,0.600600600600601,-0.996996996996991,-0.00600600600600616
0.16016016016016,0.844866708955818,-0.949489640354813,-0.595896620633898,1,-1,-1,0.640640640640641,-0.796796796796797,-0.406406406406407
0.17017017017017,0.876821275233154,-0.80586311695767,-0.954306133728748,1,-1,-1,0.680680680680681,-0.596596596596597,-0.806806806806806
0.18018018018018,0.905308499582597,-0.583196397206274,-0.94749724672043,1,-1,-1,0.720720720720721,-0.396396396396397,-0.792792792792794
0.19019019019019,0.930215730828604,-0.303328948474627,-0.578075759500372,1,-1,-1,0.760760760760761,-0.196196196196197,-0.392392392392393
0.2002002002002,0.951444474683177,0.00628943331606791,0.0125786178387414,1,1,1,0.800800800800801,0.00400400400400411,0.00800800800800822
0.21021021021021,0.96891078323615,0.315290938575503,0.598419086390927,1,1,1,0.840840840840841,0.204204204204204,0.408408408408409
0.22022022022022,0.982545586922628,0.59336826183762,0.955241157598287,1,1,1,0.880880880880881,0.404404404404405,0.808808808808809
0.23023023023023,0.992294967654814,0.813247185223733,0.946486989734852,1,1,1,0.920920920920921,0.604604604604605,0.790790790790791
0.24024024024024,0.998120372038146,0.953361672377429,0.575506852769891,1,1,1,0.960960960960961,0.804804804804804,0.390390390390391
0.25025025025025,0.999998763828597,0.999969095867747,-0.0157230390570414,1,1,-1,0.998998998999006,0.994994994994991,-0.0100100100100103
0.26026026026026,0.997922715028243,0.948498133559795,-0.600935634163123,1,1,-1,0.958958958958959,0.794794794794795,-0.410410410410411
0.27027027027027,0.991900435258877,0.803997130366941,-0.956166734739251,1,1,-1,0.918918918918919,0.594594594594595,-0.81081081081081
0.28028028028028,0.981955739297507,0.580638949428605,-0.945467372593863,1,1,-1,0.878878878878879,0.394394394394394,-0.788788788788789
0.29029029029029,0.968127952902119,0.300330877611751,-0.572932254642021,1,1,-1,0.838838838838839,0.194194194194195,-0.388388388388389
0.3003003003003,0.950471757300112,-0.009434072225897,0.0188673047844676,1,-1,1,0.798798798798799,-0.00600600600600616,0.0120120120120123
0.31031031031031,0.929056972954363,-0.318273714892308,0.603446239063425,1,-1,1,0.758758758758759,-0.206206206206206,0.412412412412412
0.32032032032032,0.903968283462016,-0.595896620633898,0.957082855998271,1,-1,1,0.718718718718719,-0.406406406406407,0.812812812812813
0.33033033033033,0.875304900677813,-0.815073141486262,0.944438405380829,1,-1,1,0.678678678678679,-0.606606606606606,0.786786786786787
0.34034034034034,0.843180172386222,-0.954306133728748,0.570351990577904,1,-1,1,0.638638638638639,-0.806806806806806,0.386386386386388
0.35035035035035,0.807721134073807,-0.999939428200294,-0.0220113839262264,1,-1,-1,0.598598598598599,-0.992992992992993,-0.0140140140140132
0.36036036036036,0.769068006574317,-0.94749724672043,-0.605950876263546,1,-1,-1,0.558558558558559,-0.792792792792794,-0.414414414414413
0.37037037037037,0.727373641573049,-0.802123192755044,-0.957989512315489,1,-1,-1,0.518518518518519,-0.592592592592593,-0.814814814814814
0.38038038038038,0.682802917163189,-0.578075759500372,-0.943400098271582,1,-1,-1,0.478478478478479,-0.392392392392393,-0.784784784784787
0.39039039039039,0.635532085844384,-0.297329836667173,-0.567766086094709,1,-1,-1,0.438438438438439,-0.192192192192193,-0.384384384384385
0.4004004004004,0.585748077541839,0.0125786178387414,0.0251552453893765,1,1,1,0.398398398398398,0.00800800800800822,0.0160160160160164
0.41041041041041,0.533647760402122,0.321253343684143,0.608449520994216,1,1,1,0.358358358358358,0.208208208208208,0.416416416416416
